Date,AGG,EEM,EFA,GLD,IWM,LQD,MTUM,QQQ,QUAL,SPY,TLT,USMV,VLUE,VNQ
2021-07-08,99.31631469726562,46.802574157714844,66.83090209960938,168.64999389648438,208.32260131835938,111.82402038574219,160.02169799804688,348.1824645996094,126.40645599365234,402.7510681152344,125.75083923339844,68.63743591308594,90.03282165527344,85.28993225097656
2021-07-09,98.99108123779297,47.61166000366211,67.96708679199219,169.2100067138672,212.72023010253906,111.3532485961914,163.30963134765625,350.3563537597656,127.51880645751953,407.0503234863281,123.98249053955078,69.11672973632812,91.59144592285156,86.69273376464844
2021-07-12,98.93119049072266,47.6561164855957,68.25756072998047,169.0,212.89877319335938,111.2954330444336,165.07643127441406,351.7247314453125,127.90534210205078,408.5083923339844,123.82172393798828,69.13514709472656,92.01177215576172,87.43537902832031
2021-07-13,98.7172622680664,47.70058059692383,67.89875793457031,169.22000122070312,208.88641357421875,110.8824462890625,163.3757781982422,351.7247314453125,127.66961669921875,407.1158142089844,122.8740463256836,68.98768615722656,91.11859893798828,86.21412658691406
2021-07-14,99.05097198486328,47.905067443847656,68.05252838134766,171.0399932861328,205.6633758544922,111.39451599121094,162.18531799316406,352.35552978515625,127.79220581054688,407.7232971191406,124.27018737792969,69.23652648925781,91.09232330322266,86.81647491455078
2021-07-15,99.26492309570312,48.02064895629883,67.40327453613281,171.07000732421875,204.49818420410156,111.6340560913086,161.80740356445312,349.88079833984375,127.3114013671875,406.33074951171875,125.64088439941406,69.30104064941406,90.6807861328125,86.9567642211914
2021-07-16,99.17935180664062,47.6472282409668,66.90779113769531,169.41000366210938,201.9799041748047,111.4771728515625,160.00282287597656,347.0469665527344,126.59494018554688,403.1435852050781,125.40404510498047,69.38401794433594,89.5424575805664,86.89900207519531
2021-07-19,99.70133972167969,46.84703063964844,65.6947021484375,169.61000061035156,198.95419311523438,112.27826690673828,157.80140686035156,344.2034606933594,124.98292541503906,397.1899719238281,128.15391540527344,68.73883056640625,88.06263732910156,85.31468200683594
2021-07-20,99.60723876953125,46.9981803894043,66.17308807373047,169.38999938964844,205.12774658203125,112.12139129638672,161.44834899902344,348.201904296875,126.61383819580078,402.8819274902344,126.91850280761719,69.30104064941406,89.78763580322266,87.32809448242188
2021-07-21,99.28203582763672,47.30047607421875,67.18115234375,168.75999450683594,208.66087341308594,111.72492980957031,164.21665954589844,350.8901062011719,127.55648803710938,406.1438293457031,125.31089782714844,69.3379135131836,90.89094543457031,87.31986236572266
2021-07-22,99.51309204101562,47.38938903808594,67.20677947998047,169.08999633789062,205.34385681152344,112.18743896484375,163.6686553955078,353.2096252441406,127.8393325805664,406.9942626953125,126.4954605102539,69.55912780761719,90.32178497314453,86.62671661376953
2021-07-23,99.44463348388672,46.68699264526367,67.67664337158203,168.55999755859375,206.30233764648438,112.13785552978516,165.20872497558594,357.334228515625,129.64930725097656,411.1815185546875,125.64937591552734,70.27803039550781,90.48815155029297,87.3446044921875
2021-07-26,99.35905456542969,45.79787826538086,67.77061462402344,168.16000366210938,206.90370178222656,111.89006805419922,165.8606414794922,357.6156005859375,129.71530151367188,412.1908264160156,125.27703094482422,70.14898681640625,91.03978729248047,87.38585662841797
2021-07-27,99.59009552001953,44.87321853637695,67.49723815917969,168.44000244140625,204.48875427246094,112.36914825439453,164.17889404296875,353.6753845214844,129.19683837890625,410.3122253417969,126.61392974853516,70.25958251953125,90.64575958251953,87.88096618652344
2021-07-28,99.68421936035156,46.09129333496094,67.78768920898438,169.2899932861328,207.49574279785156,112.56735229492188,165.31260681152344,355.0340881347656,129.23448181152344,410.14404296875,126.62235260009766,70.09371185302734,90.74207305908203,87.57564544677734
2021-07-29,99.52166748046875,46.32245635986328,68.25756072998047,171.1699981689453,209.09312438964844,112.24522399902344,166.35191345214844,355.6649475097656,129.83779907226562,411.844970703125,125.92003631591797,70.25958251953125,91.84538269042969,87.5921630859375
2021-07-30,99.65855407714844,45.877906799316406,67.90730285644531,169.82000732421875,207.7118377685547,112.33609771728516,165.36932373046875,353.8112487792969,129.48904418945312,409.844970703125,126.51238250732422,70.2503890991211,91.35501098632812,87.70767211914062
2021-08-02,99.87024688720703,46.206878662109375,68.2490234375,169.61000061035156,206.67820739746094,112.66130065917969,165.23704528808594,353.8404235839844,129.28163146972656,408.98504638671875,127.64075469970703,70.13055419921875,91.24995422363281,87.51786041259766
2021-08-03,99.90450286865234,46.40248107910156,68.73595428466797,169.49000549316406,207.5333251953125,112.77710723876953,167.14552307128906,355.9852294921875,130.2432098388672,412.31231689453125,127.70857238769531,70.56375122070312,92.33572387695312,87.62515258789062
2021-08-04,99.89591217041016,46.64253616333008,68.53092193603516,169.52999877929688,204.94921875,112.80193328857422,166.82431030273438,356.49957275390625,130.04522705078125,410.2841796875,127.97118377685547,70.28723907470703,90.9172134399414,87.35285949707031
2021-08-05,99.6731185913086,46.5714111328125,68.8641128540039,168.86000061035156,208.63265991210938,112.3386001586914,168.85565185546875,358.7608337402344,130.8936767578125,412.8824462890625,127.31883239746094,70.5268783569336,91.35501098632812,88.37606048583984
2021-08-06,99.22752380371094,46.18019485473633,68.6078109741211,164.63999938964844,209.91064453125,111.42012786865234,169.78155517578125,357.18853759765625,130.90310668945312,413.5647888183594,125.1925048828125,70.4900131225586,92.04678344726562,88.21929931640625
2021-08-09,99.04752349853516,46.33134841918945,68.57363891601562,161.72000122070312,208.75485229492188,110.94026184082031,171.236572265625,357.84857177734375,130.77108764648438,413.2282409667969,124.7435302734375,70.56375122070312,91.84538269042969,87.74893951416016
2021-08-10,98.91899871826172,46.393592834472656,68.72740936279297,161.77000427246094,209.1682891845703,110.69204711914062,171.803466796875,356.0142822265625,130.80882263183594,413.7422790527344,124.16744232177734,70.49922180175781,92.46708679199219,86.91552734375
2021-08-11,99.01327514648438,46.51805877685547,69.19727325439453,164.0,210.19252014160156,110.86573791503906,171.6806640625,355.40289306640625,130.96905517578125,414.7705078125,124.09123229980469,70.6006088256836,93.10627746582031,87.4271240234375
2021-08-12,99.02184295654297,46.10907745361328,69.13748168945312,164.0399932861328,209.69451904296875,111.02298736572266,171.9640655517578,356.6839599609375,131.0916290283203,416.0134582519531,123.88790130615234,70.75729370117188,92.68598175048828,87.61689758300781
2021-08-13,99.38175201416016,45.99348449707031,69.55606842041016,166.38999938964844,207.78701782226562,111.76765441894531,171.14207458496094,357.9358825683594,131.61013793945312,416.77056884765625,125.84477996826172,71.05224609375,92.62470245361328,88.09552001953125
