Ticker,AGG,EEM,EFA,GLD,IWM,LQD,MTUM,QQQ,QUAL,SPY,TLT,USMV,VLUE,VNQ
AGG,0.003727207123684142,0.0025077164591166827,0.0028874937768321785,0.003389353389889237,0.003103395731285061,0.004982052056310592,0.0014627870098948591,0.00275166826512587,0.002462641096577394,0.00218033220898623,0.008843688914018159,0.0020448632664777835,0.0020251947880486807,0.004551606526870946
EEM,0.0025077164591166827,0.0385209174548502,0.025890321808824838,0.012224448073407836,0.02898323085700441,0.00519515120495948,0.02812284288432721,0.030430085695957124,0.022347847729803142,0.02272767706434585,0.0026398600323632357,0.011396032145890292,0.02452307684599781,0.016177450787345265
EFA,0.0028874937768321785,0.025890321808824838,0.027520709172457396,0.009469789184760352,0.028233242074188262,0.005902281648017986,0.02511815152059182,0.02767260907103367,0.02278187203012826,0.022819012849056994,0.003584999701320865,0.014040457575549066,0.023332900266380616,0.01972945444559128
GLD,0.003389353389889237,0.012224448073407836,0.009469789184760352,0.033583917567595226,0.006618457169497734,0.004398895699896248,0.005668440819068567,0.005724681127731273,0.004519176941634634,0.004500043467559442,0.0062753911049295815,0.0032894952019487645,0.005280942050650016,0.005892916657391219
IWM,0.003103395731285061,0.02898323085700441,0.028233242074188262,0.006618457169497734,0.0510769848406812,0.007179189048601697,0.03641866340876703,0.03981813686458992,0.03261853183430595,0.03289792377738985,0.0034188129054470817,0.019712365424335767,0.035514987264518696,0.030058078137797265
LQD,0.004982052056310592,0.00519515120495948,0.005902281648017986,0.004398895699896248,0.007179189048601697,0.007480583267579449,0.004530771621326786,0.006826337158074286,0.0058353591588593086,0.00549263099374009,0.012013906107876744,0.004188342489390913,0.0050867298785928225,0.007934997569038232
MTUM,0.0014627870098948591,0.02812284288432721,0.02511815152059182,0.005668440819068567,0.03641866340876703,0.004530771621326786,0.04634176843018665,0.04151468049503634,0.031032681795282117,0.0316833311108973,0.00012508869673871477,0.01704942742752525,0.030725970099530573,0.019079567844037904
QQQ,0.00275166826512587,0.030430085695957124,0.02767260907103367,0.005724681127731273,0.03981813686458992,0.006826337158074286,0.04151468049503634,0.05179977068440488,0.037084749840097006,0.037161797446429376,0.0025405991720283344,0.019609871435063986,0.03180128718968158,0.022875790735023292
QUAL,0.002462641096577394,0.022347847729803142,0.02278187203012826,0.004519176941634634,0.03261853183430595,0.0058353591588593086,0.031032681795282117,0.037084749840097006,0.030263786832886927,0.02917406869588503,0.002646003792646386,0.018082630747829172,0.026310409434451357,0.022001056415392954
SPY,0.00218033220898623,0.02272767706434585,0.022819012849056994,0.004500043467559442,0.03289792377738985,0.00549263099374009,0.0316833311108973,0.037161797446429376,0.02917406869588503,0.02948229297213443,0.002016186725661683,0.017567447332422752,0.026788921285152482,0.021591752988636574
TLT,0.008843688914018159,0.0026398600323632357,0.003584999701320865,0.0062753911049295815,0.0034188129054470817,0.012013906107876744,0.00012508869673871477,0.0025405991720283344,0.002646003792646386,0.002016186725661683,0.025030938252980976,0.002816475846388387,0.0014192865871125518,0.008458796696342231
USMV,0.0020448632664777835,0.011396032145890292,0.014040457575549066,0.0032894952019487645,0.019712365424335767,0.004188342489390913,0.01704942742752525,0.019609871435063986,0.018082630747829172,0.017567447332422752,0.002816475846388387,0.015274309670289445,0.016715348101755182,0.0176873746803365
VLUE,0.0020251947880486807,0.02452307684599781,0.023332900266380616,0.005280942050650016,0.035514987264518696,0.0050867298785928225,0.030725970099530573,0.03180128718968158,0.026310409434451357,0.026788921285152482,0.0014192865871125518,0.016715348101755182,0.03344968952635717,0.022585451017695216
VNQ,0.004551606526870946,0.016177450787345265,0.01972945444559128,0.005892916657391219,0.030058078137797265,0.007934997569038232,0.019079567844037904,0.022875790735023292,0.022001056415392954,0.021591752988636574,0.008458796696342231,0.0176873746803365,0.022585451017695216,0.035684789222748356
